STATION,NAME,DATE,AWND,PRCP,TAVG
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",01/01/2017,17.22,0,33
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",02/01/2017,13.65,0,39
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",03/01/2017,9.17,0.94,36
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",04/01/2017,10.07,0.47,47
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/01/2017,19.69,0,43
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/01/2017,8.5,0.07,22
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/01/2017,21.47,0,22
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/01/2017,17.22,0,14
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/01/2017,19.69,0.07,26
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/01/2017,16.55,0,22
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/01/2017,10.96,0,26
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/01/2017,6.04,0.7,36
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/01/2017,15.21,0,32
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/01/2017,11.63,0,24
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/01/2017,9.84,0,31
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/01/2017,18.34,0,34
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/01/2017,10.51,0,23
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/01/2017,6.26,1.62,36
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/01/2017,15.21,0,40
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/01/2017,12.08,0,39
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",21/01/2017,6.04,0,32
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",22/01/2017,8.05,0,35
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",23/01/2017,10.51,0,33
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",24/01/2017,11.41,0.75,35
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",25/01/2017,14.99,0,39
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",26/01/2017,18.34,0.33,28
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",27/01/2017,19.01,0.31,25
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",28/01/2017,13.87,0,24
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",29/01/2017,8.28,0.01,25
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",30/01/2017,18.79,0.04,35
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",31/01/2017,23.04,0,21
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",01/02/2017,8.72,0.03,27
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",02/02/2017,19.01,1.18,32
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",03/02/2017,14.32,0,20
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",04/02/2017,13.65,0,31
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",05/02/2017,19.69,0,33
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",06/02/2017,14.09,0,19
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",07/02/2017,8.28,0,30
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",08/02/2017,8.72,0,37
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",09/02/2017,17.22,0.14,28
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",10/02/2017,15.43,0,30
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",11/02/2017,10.07,0,30
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",12/02/2017,13.2,0,31
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",13/02/2017,18.79,0,19
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",14/02/2017,10.51,0.01,24
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",15/02/2017,27.74,0.01,21
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",16/02/2017,14.76,0,11
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",17/02/2017,6.93,0.19,20
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",18/02/2017,5.82,0,23
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",19/02/2017,21.25,0,22
USW00094789,"NEW YORK METROPOLITAN AREA,  NY US",20/02/2017,18.79,0,11
